Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
Novo Xingu (RS),265,0.767,435,0.749,257,0.708,722,0.85,,,,,,,,,,,,
Lorena (SP),274,0.766,692,0.736,220,0.713,527,0.856,,,,,,,,,,,,
Capivari do Sul (RS),274,0.766,46,0.805,738,0.668,1370,0.836,,,,,,,,,,,,
Cedral (SP),274,0.766,435,0.749,483,0.689,169,0.872,,,,,,,,,,,,
Carazinho (RS),274,0.766,321,0.756,269,0.707,1183,0.84,,,,,,,,,,,,
Pereira Barreto (SP),274,0.766,848,0.728,114,0.732,943,0.845,,,,,,,,,,,,
São Simão (SP),274,0.766,784,0.732,162,0.722,643,0.852,,,,,,,,,,,,
Parnamirim (RN),274,0.766,415,0.75,142,0.726,1905,0.825,,,,,,,,,,,,
Nova Prata (RS),274,0.766,116,0.782,516,0.686,1238,0.839,,,,,,,,,,,,
Peritiba (SC),274,0.766,266,0.762,731,0.669,70,0.882,,,,,,,,,,,,
Ivatuba (PR),274,0.766,1091,0.718,59,0.748,1315,0.837,,,,,,,,,,,,
Catalão (GO),274,0.766,194,0.769,205,0.715,2216,0.819,,,,,,,,,,,,
Alumínio (SP),274,0.766,832,0.729,114,0.732,1128,0.841,,,,,,,,,,,,
Santiago (RS),274,0.766,494,0.746,560,0.682,70,0.882,,,,,,,,,,,,
Mauá (SP),274,0.766,1008,0.721,107,0.733,643,0.852,50.0,0.79,47.0,0.751,40.0,0.743,60.0,0.788,,,,
Poloni (SP),274,0.766,692,0.736,185,0.717,610,0.853,,,,,,,,,,,,
Guaporé (RS),289,0.765,125,0.781,527,0.685,1315,0.837,,,,,,,,,,,,
Imbituba (SC),289,0.765,739,0.734,318,0.703,238,0.868,,,,,,,,,,,,
Ibirubá (RS),289,0.765,97,0.786,708,0.671,792,0.848,,,,,,,,,,,,
Nova Europa (SP),289,0.765,1091,0.718,179,0.718,222,0.869,,,,,,,,,,,,
Patos de Minas (MG),289,0.765,435,0.749,374,0.698,551,0.855,,,,,,,,,,,,
São Domingos (SC),289,0.765,194,0.769,648,0.675,390,0.861,,,,,,,,,,,,
Atibaia (SP),289,0.765,97,0.786,719,0.67,702,0.851,,,,,,,,,,,,
Ituverava (SP),289,0.765,202,0.768,431,0.694,1128,0.841,,,,,,,,,,,,
Suzano (SP),289,0.765,1346,0.708,155,0.723,147,0.873,3.0,0.93,5.0,0.816,1.0,0.868,8.0,0.879,,,,
Espumoso (RS),289,0.765,478,0.747,620,0.677,55,0.884,,,,,,,,,,,,
Maricá (RJ),289,0.765,281,0.761,450,0.692,722,0.85,,,,,,,,,,,,
Não-Me-Toque (RS),289,0.765,106,0.784,686,0.673,846,0.847,,,,,,,,,,,,
Gaspar (SC),289,0.765,190,0.77,945,0.655,15,0.889,,,,,,,,,,,,
Colinas (RS),289,0.765,97,0.786,606,0.678,1183,0.84,,,,,,,,,,,,
Nova Erechim (SC),289,0.765,213,0.767,516,0.686,702,0.851,,,,,,,,,,,,
Gramado (RS),304,0.764,112,0.783,829,0.662,390,0.861,,,,,,,,,,,,
Ouro Branco (MG),304,0.764,360,0.753,581,0.68,169,0.872,,,,,,,,,,,,
São Valentim do Sul (RS),304,0.764,155,0.776,620,0.677,792,0.848,,,,,,,,,,,,
Cachoeira Paulista (SP),304,0.764,765,0.733,127,0.728,1315,0.837,,,,,,,,,,,,
Montauri (RS),304,0.764,78,0.79,829,0.662,643,0.852,,,,,,,,,,,,
Rondinha (RS),304,0.764,132,0.78,606,0.678,1075,0.842,,,,,,,,,,,,
Divinópolis (MG),304,0.764,360,0.753,331,0.702,986,0.844,,,,,,,,,,,,
Macaé (RJ),304,0.764,73,0.792,573,0.681,1747,0.828,,,,,,,,,,,,
Lençóis Paulista (SP),304,0.764,548,0.743,185,0.717,1315,0.837,,,,,,,,,,,,
Cerro Largo (RS),304,0.764,375,0.752,374,0.698,759,0.849,,,,,,,,,,,,
Arroio Trinta (SC),304,0.764,125,0.781,982,0.653,147,0.873,,,,,,,,,,,,
Imbé (RS),304,0.764,28,0.825,1232,0.638,846,0.847,,,,,,,,,,,,
Santo Antônio do Palma (RS),304,0.764,93,0.787,787,0.665,610,0.853,,,,,,,,,,,,
Rosana (SP),304,0.764,435,0.749,127,0.728,2259,0.818,,,,,,,,,,,,
Videira (SC),304,0.764,179,0.772,648,0.675,501,0.857,,,,,,,,,,,,
Paraíso do Tocantins (TO),304,0.764,297,0.759,282,0.706,1603,0.831,,,,,,,,,,,,
Fagundes Varela (RS),320,0.763,175,0.773,668,0.674,643,0.852,,,,,,,,,,,,
Ponta Grossa (PR),320,0.763,335,0.755,318,0.703,1315,0.837,84.0,0.72,87.0,0.707,105.0,0.605,92.0,0.734,,,,
Natal (RN),320,0.763,202,0.768,431,0.694,1419,0.835,85.0,0.719,90.0,0.698,92.0,0.653,87.0,0.755,,,,
Guarulhos (SP),320,0.763,494,0.746,185,0.717,1603,0.831,73.0,0.741,70.0,0.725,76.0,0.681,81.0,0.762,,,,
João Pessoa (PB),320,0.763,190,0.77,442,0.693,1560,0.832,48.0,0.795,64.0,0.737,49.0,0.726,51.0,0.807,,,,
Gabriel Monteiro (SP),320,0.763,1008,0.721,24,0.762,2696,0.809,,,,,,,,,,,,
Guararapes (SP),320,0.763,870,0.727,142,0.726,1183,0.84,,,,,,,,,,,,
Buritama (SP),320,0.763,692,0.736,168,0.72,1238,0.839,,,,,,,,,,,,
Barra Funda (RS),320,0.763,805,0.731,239,0.71,527,0.856,,,,,,,,,,,,
Presidente Venceslau (SP),320,0.763,435,0.749,257,0.708,1315,0.837,,,,,,,,,,,,
Itapetininga (SP),320,0.763,848,0.728,293,0.705,319,0.864,,,,,,,,,,,,
Paranavaí (PR),320,0.763,415,0.75,318,0.703,986,0.844,,,,,,,,,,,,
São Domingos do Sul (RS),320,0.763,132,0.78,581,0.68,1238,0.839,,,,,,,,,,,,
São Pedro do Butiá (RS),320,0.763,291,0.76,431,0.694,1032,0.843,,,,,,,,,,,,
Medianeira (PR),320,0.763,266,0.762,516,0.686,759,0.849,,,,,,,,,,,,
Itupeva (SP),335,0.762,415,0.75,364,0.699,986,0.844,,,,,,,,,,,,
São Francisco do Sul (SC),335,0.762,596,0.74,364,0.699,527,0.856,,,,,,,,,,,,
São Joaquim da Barra (SP),335,0.762,596,0.74,282,0.706,846,0.847,,,,,,,,,,,,
Osvaldo Cruz (SP),335,0.762,596,0.74,220,0.713,1315,0.837,,,,,,,,,,,,
Mococa (SP),335,0.762,321,0.756,251,0.709,1798,0.827,,,,,,,,,,,,
David Canabarro (RS),335,0.762,596,0.74,495,0.688,204,0.87,,,,,,,,,,,,
Paraguaçu Paulista (SP),335,0.762,1111,0.717,82,0.739,1370,0.836,,,,,,,,,,,,
Itapira (SP),335,0.762,415,0.75,450,0.692,643,0.852,,,,,,,,,,,,
Mirassol (SP),335,0.762,462,0.748,374,0.698,901,0.846,,,,,,,,,,,,
Sumaré (SP),335,0.762,532,0.744,293,0.705,943,0.845,51.0,0.788,54.0,0.746,45.0,0.733,62.0,0.786,,,,
Torres (RS),335,0.762,415,0.75,527,0.685,372,0.862,,,,,,,,,,,,
Santa Cruz do Rio Pardo (SP),335,0.762,532,0.744,516,0.686,257,0.867,,,,,,,,,,,,
Saldanha Marinho (RS),335,0.762,517,0.745,282,0.706,1128,0.841,,,,,,,,,,,,
Boa Vista do Buricá (RS),335,0.762,281,0.761,389,0.697,1464,0.834,,,,,,,,,,,,
Serranópolis do Iguaçu (PR),335,0.762,141,0.778,829,0.662,451,0.859,,,,,,,,,,,,
Santa Rita D'Oeste (SP),350,0.761,1268,0.711,75,0.74,1238,0.839,,,,,,,,,,,,
Conselheiro Lafaiete (MG),350,0.761,692,0.736,389,0.697,425,0.86,,,,,,,,,,,,
Itapoá (SC),350,0.761,621,0.739,560,0.682,135,0.874,,,,,,,,,,,,
São João do Oeste (SC),350,0.761,321,0.756,738,0.668,147,0.873,,,,,,,,,,,,
Taió (SC),350,0.761,435,0.749,719,0.67,94,0.879,,,,,,,,,,,,
Umuarama (PR),350,0.761,335,0.755,374,0.698,1370,0.836,,,,,,,,,,,,
Nova Pádua (RS),350,0.761,266,0.762,606,0.678,643,0.852,,,,,,,,,,,,
Alfenas (MG),350,0.761,665,0.737,223,0.712,1128,0.841,,,,,,,,,,,,
Zortéa (SC),350,0.761,375,0.752,849,0.661,40,0.885,,,,,,,,,,,,
Panambi (RS),350,0.761,375,0.752,465,0.691,792,0.848,,,,,,,,,,,,
Entre Rios do Oeste (PR),350,0.761,141,0.778,516,0.686,1846,0.826,,,,,,,,,,,,
Indiana (SP),350,0.761,1190,0.714,107,0.733,1032,0.843,,,,,,,,,,,,
Iguaba Grande (RJ),350,0.761,532,0.744,305,0.704,1128,0.841,,,,,,,,,,,,
Sertãozinho (SP),350,0.761,202,0.768,697,0.672,551,0.855,,,,,,,,,,,,
Batatais (SP),350,0.761,223,0.766,527,0.685,1183,0.84,,,,,,,,,,,,
Vila Maria (RS),350,0.761,75,0.791,802,0.664,1238,0.839,,,,,,,,,,,,
Porto Belo (SC),366,0.76,415,0.75,870,0.66,22,0.886,,,,,,,,,,,,
Araranguá (SC),366,0.76,517,0.745,465,0.691,610,0.853,,,,,,,,,,,,
Itaara (RS),366,0.76,281,0.761,505,0.687,1128,0.841,,,,,,,,,,,,
Taiúva (SP),366,0.76,784,0.732,179,0.718,1419,0.835,,,,,,,,,,,,
Serafina Corrêa (RS),366,0.76,335,0.755,474,0.69,1032,0.843,,,,,,,,,,,,
Descalvado (SP),366,0.76,596,0.74,505,0.687,303,0.865,,,,,,,,,,,,
Tijucas (SC),366,0.76,478,0.747,697,0.672,147,0.873,,,,,,,,,,,,
Santa Adélia (SP),366,0.76,415,0.75,331,0.702,1419,0.835,,,,,,,,,,,,
Tapejara (RS),366,0.76,252,0.763,495,0.688,1315,0.837,,,,,,,,,,,,
Campinas do Sul (RS),366,0.76,360,0.753,465,0.691,1075,0.842,,,,,,,,,,,,
Estrela D'Oeste (SP),366,0.76,1248,0.712,293,0.705,147,0.873,,,,,,,,,,,,
Rio Negro (PR),366,0.76,1008,0.721,293,0.705,343,0.863,,,,,,,,,,,,
Modelo (SC),366,0.76,398,0.751,883,0.659,22,0.886,,,,,,,,,,,,
Sete Lagoas (MG),366,0.76,565,0.742,293,0.705,1183,0.84,,,,,,,,,,,,
Frederico Westphalen (RS),366,0.76,349,0.754,495,0.688,901,0.846,,,,,,,,,,,,
Jandira (SP),366,0.76,639,0.738,282,0.706,1128,0.841,,,,,,,,,,,,
Goiandira (GO),366,0.76,1268,0.711,135,0.727,759,0.849,,,,,,,,,,,,
São Lourenço (MG),383,0.759,494,0.746,686,0.673,181,0.871,,,,,,,,,,,,
Monte Alegre do Sul (SP),383,0.759,375,0.752,606,0.678,473,0.858,,,,,,,,,,,,
Rio das Pedras (SP),383,0.759,580,0.741,355,0.7,1075,0.842,,,,,,,,,,,,
Cornélio Procópio (PR),383,0.759,494,0.746,450,0.692,792,0.848,,,,,,,,,,,,
Gurupi (TO),383,0.759,692,0.736,282,0.706,1032,0.843,,,,,,,,,,,,
Santo Antônio do Planalto (RS),383,0.759,1547,0.701,293,0.705,40,0.885,,,,,,,,,,,,
Várzea Paulista (SP),383,0.759,1039,0.72,293,0.705,343,0.863,,,,,,,,,,,,
Caraguatatuba (SP),383,0.759,715,0.735,293,0.705,943,0.845,,,,,,,,,,,,
Nova Candelária (RS),383,0.759,66,0.794,1133,0.643,527,0.856,,,,,,,,,,,,
Presidente Getúlio (SC),383,0.759,241,0.764,966,0.654,135,0.874,,,,,,,,,,,,
Três de Maio (RS),383,0.759,321,0.756,431,0.694,1464,0.834,,,,,,,,,,,,
Iporã do Oeste (SC),383,0.759,548,0.743,416,0.695,846,0.847,,,,,,,,,,,,
Taquaral (SP),383,0.759,565,0.742,193,0.716,1987,0.823,,,,,,,,,,,,
Salvador (BA),383,0.759,179,0.772,593,0.679,1419,0.835,89.0,0.711,93.0,0.685,86.0,0.664,61.0,0.787,,,,
Rubinéia (SP),383,0.759,1217,0.713,142,0.726,986,0.844,,,,,,,,,,,,
Penápolis (SP),383,0.759,462,0.748,581,0.68,451,0.859,,,,,,,,,,,,
Inúbia Paulista (SP),383,0.759,1939,0.688,50,0.75,759,0.849,,,,,,,,,,,,
Faxinal dos Guedes (SC),400,0.758,494,0.746,634,0.676,343,0.863,,,,,,,,,,,,
Cordeirópolis (SP),400,0.758,349,0.754,668,0.674,473,0.858,,,,,,,,,,,,
Nova Mutum (MT),400,0.758,175,0.773,686,0.673,1315,0.837,,,,,,,,,,,,
Porto Feliz (SP),400,0.758,665,0.737,282,0.706,1370,0.836,,,,,,,,,,,,
Piratuba (SC),400,0.758,692,0.736,212,0.714,1704,0.829,,,,,,,,,,,,
Antônio Prado (RS),400,0.758,151,0.777,708,0.671,1419,0.835,,,,,,,,,,,,
Picada Café (RS),400,0.758,639,0.738,344,0.701,1075,0.842,,,,,,,,,,,,
Álvares Machado (SP),400,0.758,1248,0.712,114,0.732,1464,0.834,,,,,,,,,,,,
Iguaraçu (PR),400,0.758,1190,0.714,114,0.732,1515,0.833,,,,,,,,,,,,
Piraju (SP),400,0.758,596,0.74,364,0.699,1032,0.843,,,,,,,,,,,,
São João Del Rei (MG),400,0.758,765,0.733,474,0.69,425,0.86,,,,,,,,,,,,
Fernando Prestes (SP),400,0.758,494,0.746,581,0.68,451,0.859,,,,,,,,,,,,
São José dos Pinhais (PR),400,0.758,435,0.749,606,0.678,451,0.859,1.0,0.94,25.0,0.782,3.0,0.855,15.0,0.861,,,,
Herval D'Oeste (SC),400,0.758,596,0.74,538,0.684,451,0.859,,,,,,,,,,,,
Maripá (PR),400,0.758,692,0.736,538,0.684,276,0.866,,,,,,,,,,,,
Itaúna (MG),400,0.758,435,0.749,527,0.685,722,0.85,,,,,,,,,,,,
Guabiju (RS),400,0.758,25,0.831,1727,0.612,501,0.857,,,,,,,,,,,,
Nova Londrina (PR),400,0.758,715,0.735,465,0.691,527,0.856,,,,,,,,,,,,
João Monlevade (MG),400,0.758,937,0.724,257,0.708,759,0.849,,,,,,,,,,,,
Colorado (RS),400,0.758,162,0.775,668,0.674,1419,0.835,,,,,,,,,,,,
Jataí (GO),420,0.757,166,0.774,930,0.656,527,0.856,,,,,,,,,,,,
Campo Mourão (PR),420,0.757,435,0.749,483,0.689,1128,0.841,,,,,,,,,,,,
Presidente Lucena (RS),420,0.757,870,0.727,668,0.674,40,0.885,,,,,,,,,,,,
Canoinhas (SC),420,0.757,1111,0.717,450,0.692,135,0.874,,,,,,,,,,,,
Palhoça (SC),420,0.757,375,0.752,697,0.672,451,0.859,,,,,,,,,,,,
Presidente Bernardes (SP),420,0.757,1091,0.718,172,0.719,1238,0.839,,,,,,,,,,,,
Dois Lajeados (RS),420,0.757,162,0.775,719,0.67,1315,0.837,,,,,,,,,,,,
Pedro Leopoldo (MG),420,0.757,961,0.723,355,0.7,527,0.856,,,,,,,,,,,,
Gravatal (SC),420,0.757,897,0.726,573,0.681,110,0.877,,,,,,,,,,,,
Estância Velha (RS),420,0.757,435,0.749,995,0.652,19,0.887,,,,,,,,,,,,
Chapada (RS),420,0.757,375,0.752,593,0.679,759,0.849,,,,,,,,,,,,
Vista Gaúcha (RS),420,0.757,166,0.774,731,0.669,1238,0.839,,,,,,,,,,,,
Piquete (SP),420,0.757,1268,0.711,75,0.74,1987,0.823,,,,,,,,,,,,
Santo Antônio do Aracanguá (SP),420,0.757,1293,0.71,127,0.728,1183,0.84,,,,,,,,,,,,
Santa Rosa de Lima (SC),420,0.757,897,0.726,239,0.71,1032,0.843,,,,,,,,,,,,
Colina (SP),420,0.757,1039,0.72,223,0.712,943,0.845,,,,,,,,,,,,
Vanini (RS),420,0.757,692,0.736,305,0.704,1370,0.836,,,,,,,,,,,,
Cachoeirinha (RS),420,0.757,435,0.749,648,0.675,501,0.857,,,,,,,,,,,,
Diadema (SP),420,0.757,1111,0.717,193,0.716,986,0.844,87.0,0.713,76.0,0.722,66.0,0.695,91.0,0.735,,,,
Águas de Santa Bárbara (SP),420,0.757,532,0.744,416,0.695,1183,0.84,,,,,,,,,,,,
Fortaleza dos Valos (RS),440,0.756,137,0.779,815,0.663,1315,0.837,,,,,,,,,,,,
Itabira (MG),440,0.756,832,0.729,606,0.678,147,0.873,,,,,,,,,,,,
Quinze de Novembro (RS),440,0.756,112,0.783,945,0.655,1128,0.841,,,,,,,,,,,,
Balneário Piçarras (SC),440,0.756,517,0.745,738,0.668,222,0.869,,,,,,,,,,,,
Jambeiro (SP),440,0.756,870,0.727,474,0.69,425,0.86,,,,,,,,,,,,
Cravinhos (SP),440,0.756,665,0.737,548,0.683,501,0.857,,,,,,,,,,,,
Contagem (MG),440,0.756,517,0.745,389,0.697,1560,0.832,74.0,0.739,47.0,0.751,55.0,0.718,65.0,0.78,,,,
Bálsamo (SP),440,0.756,494,0.746,416,0.695,1419,0.835,,,,,,,,,,,,
Ilhabela (SP),440,0.756,621,0.739,442,0.693,1032,0.843,,,,,,,,,,,,
Nova Castilho (SP),440,0.756,1768,0.694,36,0.755,1987,0.823,,,,,,,,,,,,
Pirangi (SP),440,0.756,715,0.735,344,0.701,1315,0.837,,,,,,,,,,,,
Hortolândia (SP),440,0.756,1136,0.716,318,0.703,451,0.859,,,,,,,,,,,,
Passos (MG),440,0.756,580,0.741,898,0.658,22,0.886,,,,,,,,,,,,
Orleans (SC),453,0.755,435,0.749,914,0.657,147,0.873,,,,,,,,,,,,
Cianorte (PR),453,0.755,478,0.747,527,0.685,1128,0.841,,,,,,,,,,,,
Montenegro (RS),453,0.755,281,0.761,966,0.654,276,0.866,,,,,,,,,,,,
São José do Ouro (RS),453,0.755,297,0.759,731,0.669,901,0.846,,,,,,,,,,,,
Pongaí (SP),453,0.755,870,0.727,344,0.701,986,0.844,,,,,,,,,,,,
São Ludgero (SC),453,0.755,321,0.756,548,0.683,1464,0.834,,,,,,,,,,,,
Coronel Fabriciano (MG),453,0.755,1166,0.715,404,0.696,303,0.865,,,,,,,,,,,,
Alto Bela Vista (SC),453,0.755,739,0.734,802,0.664,70,0.882,,,,,,,,,,,,
Saudades (SC),453,0.755,961,0.723,355,0.7,722,0.85,,,,,,,,,,,,
São Pedro (SP),453,0.755,580,0.741,668,0.674,343,0.863,,,,,,,,,,,,
Formiga (MG),453,0.755,832,0.729,634,0.676,135,0.874,,,,,,,,,,,,
Aparecida (SP),453,0.755,715,0.735,282,0.706,1747,0.828,,,,,,,,,,,,
Brodowski (SP),453,0.755,639,0.738,648,0.675,319,0.864,,,,,,,,,,,,
Rondonópolis (MT),453,0.755,435,0.749,374,0.698,1987,0.823,,,,,,,,,,,,
Boracéia (SP),467,0.754,961,0.723,527,0.685,276,0.866,,,,,,,,,,,,
Rio Verde (GO),467,0.754,232,0.765,930,0.656,610,0.853,,,,,,,,,,,,
Neves Paulista (SP),467,0.754,665,0.737,269,0.707,1987,0.823,,,,,,,,,,,,
Constantina (RS),467,0.754,897,0.726,738,0.668,40,0.885,,,,,,,,,,,,
Guabiruba (SC),467,0.754,415,0.75,982,0.653,118,0.876,,,,,,,,,,,,
Rodeio (SC),467,0.754,194,0.769,1473,0.626,15,0.889,,,,,,,,,,,,
Lauro de Freitas (BA),467,0.754,125,0.781,815,0.663,1798,0.827,,,,,,,,,,,,
Registro (SP),467,0.754,1091,0.718,331,0.702,702,0.851,,,,,,,,,,,,
São Vendelino (RS),467,0.754,548,0.743,620,0.677,643,0.852,,,,,,,,,,,,
Flores da Cunha (RS),467,0.754,97,0.786,1157,0.642,759,0.849,,,,,,,,,,,,
Mongaguá (SP),467,0.754,1069,0.719,364,0.699,581,0.854,,,,,,,,,,,,
Esteio (RS),467,0.754,194,0.769,829,0.662,1032,0.843,,,,,,,,,,,,
Chapadão do Sul (MS),467,0.754,303,0.758,787,0.665,722,0.85,,,,,,,,,,,,
Cunhataí (SC),467,0.754,151,0.777,1535,0.623,22,0.886,,,,,,,,,,,,
Sinop (MT),467,0.754,335,0.755,560,0.682,1560,0.832,,,,,,,,,,,,
Corumbataí (SP),467,0.754,848,0.728,355,0.7,1128,0.841,,,,,,,,,,,,
Rio do Oeste (SC),467,0.754,194,0.769,1492,0.625,6,0.892,,,,,,,,,,,,
Praia Grande (SP),467,0.754,532,0.744,450,0.692,1464,0.834,74.0,0.739,49.0,0.75,68.0,0.694,72.0,0.772,,,,
Fortaleza (CE),467,0.754,435,0.749,416,0.695,1951,0.824,21.0,0.894,60.0,0.744,18.0,0.822,35.0,0.828,,,,
Vera Cruz (SP),467,0.754,989,0.722,205,0.715,1647,0.83,,,,,,,,,,,,
Analândia (SP),467,0.754,517,0.745,738,0.668,390,0.861,,,,,,,,,,,,
Monte Azul Paulista (SP),488,0.753,765,0.733,474,0.69,1032,0.843,,,,,,,,,,,,
Três Fronteiras (SP),488,0.753,1293,0.71,142,0.726,1704,0.829,,,,,,,,,,,,
Tarumã (SP),488,0.753,639,0.738,581,0.68,643,0.852,,,,,,,,,,,,
Forquilhinha (SC),488,0.753,349,0.754,914,0.657,390,0.861,,,,,,,,,,,,
Garopaba (SC),488,0.753,665,0.737,738,0.668,238,0.868,,,,,,,,,,,,
Ajuricaba (RS),488,0.753,252,0.763,898,0.658,722,0.85,,,,,,,,,,,,
Nicolau Vergueiro (RS),488,0.753,179,0.772,870,0.66,1238,0.839,,,,,,,,,,,,
Novo Horizonte (SP),488,0.753,580,0.741,787,0.665,303,0.865,,,,,,,,,,,,
Congonhas (MG),488,0.753,784,0.732,787,0.665,110,0.877,,,,,,,,,,,,
Guaíra (SP),488,0.753,297,0.759,548,0.683,1951,0.824,,,,,,,,,,,,
Magda (SP),488,0.753,937,0.724,185,0.717,1987,0.823,,,,,,,,,,,,
Nilópolis (RJ),488,0.753,805,0.731,193,0.716,2307,0.817,,,,,,,,,,,,
Estação (RS),488,0.753,375,0.752,668,0.674,1032,0.843,,,,,,,,,,,,
Mangaratiba (RJ),488,0.753,494,0.746,634,0.676,943,0.845,,,,,,,,,,,,
Ipeúna (SP),488,0.753,665,0.737,527,0.685,943,0.845,,,,,,,,,,,,
João Neiva (ES),488,0.753,398,0.751,815,0.663,501,0.857,,,,,,,,,,,,
Rancho Queimado (SC),488,0.753,548,0.743,1112,0.644,5,0.893,,,,,,,,,,,,
Palmeira D'Oeste (SP),488,0.753,1039,0.72,212,0.714,1704,0.829,,,,,,,,,,,,
Santo Anastácio (SP),488,0.753,918,0.725,483,0.689,581,0.854,,,,,,,,,,,,
Salvador das Missões (RS),488,0.753,1293,0.71,282,0.706,702,0.851,,,,,,,,,,,,
Aracruz (ES),508,0.752,1111,0.717,269,0.707,1281,0.838,,,,,,,,,,,,
Monte Belo do Sul (RS),508,0.752,375,0.752,815,0.663,643,0.852,,,,,,,,,,,,
Tatuí (SP),508,0.752,739,0.734,495,0.688,1075,0.842,,,,,,,,,,,,
Capinzal (SC),508,0.752,565,0.742,883,0.659,222,0.869,,,,,,,,,,,,
Enéas Marques (PR),508,0.752,213,0.767,802,0.664,1419,0.835,,,,,,,,,,,,
Tunápolis (SC),508,0.752,848,0.728,305,0.704,1647,0.83,,,,,,,,,,,,
Três Marias (MG),508,0.752,1405,0.706,416,0.695,276,0.866,,,,,,,,,,,,
Lucélia (SP),508,0.752,848,0.728,416,0.695,1128,0.841,,,,,,,,,,,,
Itumbiara (GO),508,0.752,532,0.744,560,0.682,1281,0.838,,,,,,,,,,,,
Pranchita (PR),508,0.752,548,0.743,404,0.696,2112,0.821,,,,,,,,,,,,
Primavera do Leste (MT),508,0.752,166,0.774,982,0.653,1032,0.843,,,,,,,,,,,,
Westfalia (RS),508,0.752,61,0.796,1395,0.63,759,0.849,,,,,,,,,,,,
Severiano de Almeida (RS),508,0.752,639,0.738,719,0.67,390,0.861,,,,,,,,,,,,
Laguna (SC),508,0.752,1166,0.715,560,0.682,181,0.871,,,,,,,,,,,,
Marapoama (SP),508,0.752,692,0.736,593,0.679,643,0.852,,,,,,,,,,,,
Boa Vista (RR),508,0.752,665,0.737,257,0.708,2357,0.816,18.0,0.896,50.0,0.749,23.0,0.812,31.0,0.835,,,,
Araguaína (TO),508,0.752,870,0.727,223,0.712,2112,0.821,,,,,,,,,,,,
Xaxim (SC),508,0.752,665,0.737,829,0.662,181,0.871,,,,,,,,,,,,
Planalto Alegre (SC),526,0.751,805,0.731,883,0.659,77,0.881,,,,,,,,,,,,
Guaxupé (MG),526,0.751,832,0.729,883,0.659,83,0.88,,,,,,,,,,,,
Foz do Iguaçu (PR),526,0.751,462,0.748,849,0.661,473,0.858,72.0,0.743,42.0,0.754,70.0,0.689,70.0,0.773,,,,
Teresina (PI),526,0.751,805,0.731,269,0.707,2161,0.82,22.0,0.883,59.0,0.745,21.0,0.814,27.0,0.84,,,,
Guarujá (SP),526,0.751,832,0.729,593,0.679,581,0.854,9.0,0.917,18.0,0.791,6.0,0.846,16.0,0.86,,,,
Turiúba (SP),526,0.751,1217,0.713,167,0.721,1951,0.824,,,,,,,,,,,,
Bastos (SP),526,0.751,1707,0.696,179,0.718,792,0.848,,,,,,,,,,,,
Indiaporã (SP),526,0.751,1190,0.714,239,0.71,1419,0.835,,,,,,,,,,,,
Américo Brasiliense (SP),526,0.751,1318,0.709,344,0.701,643,0.852,,,,,,,,,,,,
Sales (SP),526,0.751,1346,0.708,389,0.697,451,0.859,,,,,,,,,,,,
Porto Ferreira (SP),526,0.751,692,0.736,404,0.696,1798,0.827,,,,,,,,,,,,
Tapiratiba (SP),526,0.751,1473,0.703,450,0.692,204,0.87,,,,,,,,,,,,
Mandaguari (PR),526,0.751,784,0.732,483,0.689,1183,0.84,,,,,,,,,,,,
Cataguases (MG),526,0.751,1091,0.718,527,0.685,390,0.861,,,,,,,,,,,,
Rancharia (SP),526,0.751,1039,0.72,548,0.683,390,0.861,,,,,,,,,,,,
Ubatuba (SP),526,0.751,580,0.741,593,0.679,1128,0.841,,,,,,,,,,,,
Sertão (RS),526,0.751,494,0.746,606,0.678,1315,0.837,,,,,,,,,,,,
Catiguá (SP),526,0.751,739,0.734,634,0.676,643,0.852,,,,,,,,,,,,
Guaramirim (SC),526,0.751,462,0.748,1176,0.641,40,0.885,,,,,,,,,,,,
Cambuí (MG),526,0.751,989,0.722,668,0.674,169,0.872,,,,,,,,,,,,
Nhandeara (SP),526,0.751,335,0.755,697,0.672,1419,0.835,,,,,,,,,,,,
Osório (RS),526,0.751,194,0.769,1082,0.646,610,0.853,,,,,,,,,,,,
Guaraciaba (SC),526,0.751,349,0.754,1082,0.646,181,0.871,,,,,,,,,,,,
Pinhais (PR),526,0.751,281,0.761,768,0.666,1370,0.836,,,,,,,,,,,,
Mirandópolis (SP),526,0.751,784,0.732,787,0.665,222,0.869,,,,,,,,,,,,
Presidente Epitácio (SP),551,0.75,1190,0.714,355,0.7,943,0.845,,,,,,,,,,,,
Canoas (RS),551,0.75,202,0.768,1271,0.636,319,0.864,54.0,0.78,67.0,0.731,78.0,0.676,78.0,0.765,,,,
São João do Pau D'Alho (SP),551,0.75,1190,0.714,450,0.692,581,0.854,,,,,,,,,,,,
Capivari (SP),551,0.75,532,0.744,731,0.669,792,0.848,,,,,,,,,,,,
Cruz Alta (RS),551,0.75,349,0.754,982,0.653,473,0.858,,,,,,,,,,,,
Paranaguá (PR),551,0.75,765,0.733,634,0.676,643,0.852,,,,,,,,,,,,
